household_id,timestamp,consumption_kwh
H001,2025-09-11 00:00,1.17
H001,2025-09-11 01:00,0.64
H001,2025-09-11 02:00,1.82
H001,2025-09-11 03:00,1.73
H001,2025-09-11 04:00,1.61
H001,2025-09-11 05:00,0.54
H001,2025-09-11 06:00,1.81
H001,2025-09-11 07:00,1.04
H001,2025-09-11 08:00,1.64
H001,2025-09-11 09:00,1.94
H001,2025-09-11 10:00,0.75
H001,2025-09-11 11:00,1.44
H001,2025-09-11 12:00,2.12
H001,2025-09-11 13:00,2.07
H001,2025-09-11 14:00,2.42
H001,2025-09-11 15:00,2.14
H001,2025-09-11 16:00,2.33
H001,2025-09-11 17:00,1.27
H001,2025-09-11 18:00,1.26
H001,2025-09-11 19:00,2.19
H001,2025-09-11 20:00,0.79
H001,2025-09-11 21:00,2.09
H001,2025-09-11 22:00,1.42
H001,2025-09-11 23:00,2.39
H002,2025-09-11 00:00,1.87
H002,2025-09-11 01:00,0.8
H002,2025-09-11 02:00,
H002,2025-09-11 03:00,1.35
H002,2025-09-11 04:00,2.04
H002,2025-09-11 05:00,2.16
H002,2025-09-11 06:00,1.44
H002,2025-09-11 07:00,2.16
H002,2025-09-11 08:00,1.67
H002,2025-09-11 09:00,2.46
H002,2025-09-11 10:00,1.31
H002,2025-09-11 11:00,2.0
H002,2025-09-11 12:00,1.55
H002,2025-09-11 13:00,2.19
H002,2025-09-11 14:00,0.56
H002,2025-09-11 15:00,1.11
H002,2025-09-11 16:00,1.65
H002,2025-09-11 17:00,1.57
H002,2025-09-11 18:00,
H002,2025-09-11 19:00,1.78
H002,2025-09-11 20:00,
H002,2025-09-11 21:00,1.24
H002,2025-09-11 22:00,2.29
H002,2025-09-11 23:00,1.68
H003,2025-09-11 00:00,1.8
H003,2025-09-11 01:00,1.46
H003,2025-09-11 02:00,2.12
H003,2025-09-11 03:00,1.83
H003,2025-09-11 04:00,1.59
H003,2025-09-11 05:00,0.56
H003,2025-09-11 06:00,1.46
H003,2025-09-11 07:00,
H003,2025-09-11 08:00,0.91
H003,2025-09-11 09:00,0.98
H003,2025-09-11 10:00,0.66
H003,2025-09-11 11:00,2.31
H003,2025-09-11 12:00,2.29
H003,2025-09-11 13:00,1.78
H003,2025-09-11 14:00,2.39
H003,2025-09-11 15:00,2.45
H003,2025-09-11 16:00,1.83
H003,2025-09-11 17:00,1.64
H003,2025-09-11 18:00,1.48
H003,2025-09-11 19:00,1.01
H003,2025-09-11 20:00,2.18
